FRE  235  01 Intermediate French,J Janca-Aji,MWF,10:00 AM,10:50 AM,Hickok Hall,,1.00
FRE  345  01 History of Fr: Language & Culture,J Janca-Aji,MWF,02:00 PM,02:50 PM,Hickok Hall,,1.00
FRE  444  01 Ind Study-French,J Janca-Aji,,00:00 AM,00:00 AM,Arranged,,A1.00
First Year Seminar,,,,,,,
FS110  01W FYS:BelongingorBeinganOutcast,L Rodriguez Moreno,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  02W FYS:  History of Sport in the US,L Atwater,MWRF,11:00 AM,11:50 AM,Eby Fieldhouse,,1.00
FS110  03W FYS: Black Lives Matter,A Kelley,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  04W FYS:CallingBullshitData-DrivenWorld,B Miller,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  05W FYS:  Around the World,W Herron,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  06W FYS: Into the Woods,S Farrell,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  07W FYS: Defusing Dangerous Designs,B Chihak,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  08W FYS:How to Bounce Back:Resilency,S Brown,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  09W FYS:Good Trouble:Rhetoric of Social,A Carr,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
FS110  10W FYS: Doing Good,J Chaimov,MWRF,11:00 AM,11:50 AM,Struve Comm Ctr,,41.00
FS110  11W FYS: The Oil Titan,J Chen,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  12W FYS:What we are afraid of and Why,G Cross,MWRF,11:00 AM,11:50 AM,Stuart Hall,,1.00
FS110  13W FYS:Liberal Arts: A Sense of Place,B Nesmith,MWRF,11:00 AM,11:50 AM,Hickok Hall,,1.00
